taxonomy_class,precision,recall,f1-score,support
Raw,0.8382352941176471,0.8769230769230769,0.8571428571428571,65.0
Adapted_Orthogra,0.6111111111111112,0.6285714285714286,0.6197183098591549,35.0
Adapted_Morph,0.59375,0.9047619047619048,0.7169811320754716,21.0
LightVerb_Unintegrated,0.0,0.0,0.0,9.0
LightVerb_Integrated,0.0,0.0,0.0,6.0
accuracy,0.7205882352941176,0.7205882352941176,0.7205882352941176,0.7205882352941176
macro avg,0.4086192810457517,0.482051282051282,0.4387684598154967,136.0
weighted avg,0.6495803897539407,0.7205882352941176,0.6798605171539782,136.0
