taxonomy_class,precision,recall,f1-score,support
Raw,0.5656565656565656,0.8115942028985508,0.6666666666666666,69.0
Adapted_Orthogra,0.8724489795918368,0.8465346534653465,0.8592964824120602,202.0
Adapted_Morph,1.0,0.1111111111111111,0.2,27.0
LightVerb_Unintegrated,0.0,0.0,0.0,0.0
LightVerb_Integrated,0.0,0.0,0.0,0.0
accuracy,0.7718120805369127,0.7718120805369127,0.7718120805369127,0.7718120805369127
macro avg,0.4876211090496804,0.3538479934950017,0.3451926298157454,298.0
weighted avg,0.8129697882813894,0.7718120805369127,0.7549593605611953,298.0
