taxonomy_class,precision,recall,f1-score,support
Raw,0.6582278481012658,0.611764705882353,0.6341463414634146,85.0
Adapted_Orthogra,0.7210884353741497,0.5608465608465608,0.6309523809523809,189.0
Adapted_Morph,0.5562130177514792,0.7580645161290323,0.6416382252559727,124.0
LightVerb_Unintegrated,0.0,0.0,0.0,0.0
LightVerb_Integrated,0.3333333333333333,1.0,0.5,1.0
accuracy,0.6340852130325815,0.6340852130325815,0.6340852130325815,0.6340852130325815
macro avg,0.45377252691204556,0.5861351565715893,0.48134738953435363,399.0
weighted avg,0.6554857867389439,0.6340852130325815,0.6346255111682477,399.0
