taxonomy_class,precision,recall,f1-score,support
Raw,0.592,0.7628865979381443,0.6666666666666666,97.0
Adapted_Orthogra,0.8341232227488151,0.8262910798122066,0.8301886792452831,213.0
Adapted_Morph,0.8846153846153846,0.46938775510204084,0.6133333333333333,49.0
LightVerb_Unintegrated,0.0,0.0,0.0,9.0
LightVerb_Integrated,0.125,0.25,0.16666666666666666,4.0
accuracy,0.7365591397849462,0.7365591397849462,0.7365591397849462,0.7365591397849462
macro avg,0.4871477214728399,0.46171308657047827,0.4553710691823899,372.0
weighted avg,0.7498344093861599,0.7365591397849462,0.7317657401771827,372.0
