taxonomy_class,precision,recall,f1-score,support
Raw,0.9206349206349206,0.5918367346938775,0.7204968944099379,98.0
Adapted_Orthogra,0.7098445595854922,0.5756302521008403,0.6357308584686775,238.0
Adapted_Morph,0.5909090909090909,0.8342245989304813,0.6917960088691796,187.0
LightVerb_Unintegrated,0.0,0.0,0.0,0.0
LightVerb_Integrated,0.0,0.0,0.0,0.0
accuracy,0.6711281070745698,0.6711281070745698,0.6711281070745698,0.6711281070745698
macro avg,0.4442777142259008,0.4003383171450398,0.40960475234955906,523.0
weighted avg,0.7068168784007063,0.6711281070745698,0.671660599667793,523.0
