taxonomy_class,precision,recall,f1-score,support
Raw,0.6106194690265486,0.7752808988764045,0.6831683168316832,89.0
Adapted_Orthogra,0.8361581920903954,0.8087431693989071,0.8222222222222222,183.0
Adapted_Morph,0.8518518518518519,0.5227272727272727,0.647887323943662,44.0
LightVerb_Unintegrated,0.6,0.5,0.5454545454545454,6.0
LightVerb_Integrated,0.6,0.6,0.6,5.0
accuracy,0.7522935779816514,0.7522935779816514,0.7522935779816514,0.7522935779816514
macro avg,0.6997259025937592,0.6413502682005169,0.6597464816904226,327.0
weighted avg,0.7689405607871151,0.7522935779816514,0.7524416403392504,327.0
