taxonomy_class,precision,recall,f1-score,support
Raw,0.921875,0.5673076923076923,0.7023809523809523,104.0
Adapted_Orthogra,0.7004830917874396,0.58,0.6345733041575492,250.0
Adapted_Morph,0.5860805860805861,0.8290155440414507,0.6866952789699571,193.0
LightVerb_Unintegrated,0.0,0.0,0.0,0.0
LightVerb_Integrated,0.0,0.0,0.0,0.0
accuracy,0.6654478976234004,0.6654478976234004,0.6654478976234004,0.6654478976234004
macro avg,0.4416877355736052,0.3952646472698286,0.40472990710169177,547.0
weighted avg,0.7022108337484699,0.6654478976234004,0.665855820709704,547.0
