lang,term,frequency,category,source_types,is_valid_cognate,is_valid_integrated,is_valid_historical
eu,online,11,new/tech,noun_raw,0,0,0
eu,onlinea,2,new/tech,noun_integrated_sg,0,0,0
eu,interface,5,new/tech,noun_raw,0,0,0
eu,user,3,new/tech,noun_raw,0,0,0
eu,usera,5,new/tech,noun_integrated_sg,0,0,0
eu,bot,5,new/tech,noun_raw,0,0,0
eu,bota,50,established,"wiktionary_es, noun_integrated_sg",0,0,0
eu,botak,8,new/tech,noun_integrated_pl,0,0,0
eu,app,26,new/tech,noun_raw,0,0,0
eu,appa,1,new/tech,noun_integrated_sg,0,0,0
eu,appak,3,new/tech,noun_integrated_pl,0,0,0
eu,pixel,35,new/tech,noun_raw,0,0,0
eu,pixela,4,new/tech,noun_integrated_sg,0,0,0
eu,pixelak,9,new/tech,noun_integrated_pl,0,0,0
el,click,5,new/tech,cs_latin_raw,0,0,0
el,κλικ,24,established,"noun_transliterated, wiktionary_fr",0,0,1
el,κάνει κλικ,6,new/tech,verb_light_greek,0,0,0
el,έκανε κλικ,1,new/tech,verb_light_greek,0,0,0
el,κάνοντας κλικ,9,new/tech,verb_light_greek,0,0,0
el,post,1,new/tech,cs_latin_raw,0,0,0
el,κάνει post,1,new/tech,verb_light_latin,0,0,0
el,ποστ,3,new/tech,noun_transliterated,0,0,0
el,chat,11,new/tech,cs_latin_raw,0,0,0
el,τσατ,3,new/tech,noun_transliterated,0,0,0
el,λινκ,4,new/tech,noun_transliterated,0,0,0
el,tag,9,new/tech,cs_latin_raw,0,0,0
el,κάνει tag,1,new/tech,verb_light_latin,0,0,0
el,κάνει tweet,1,new/tech,verb_light_latin,0,0,0
el,έκανε tweet,1,new/tech,verb_light_latin,0,0,0
el,τουίτ,6,new/tech,noun_transliterated,0,0,0
el,scan,8,new/tech,cs_latin_raw,0,0,0
el,σκαν,1,new/tech,noun_transliterated,0,0,0
el,format,3,new/tech,cs_latin_raw,0,0,0
el,φορμάτ,6,new/tech,noun_transliterated,0,0,0
el,hack,2,new/tech,cs_latin_raw,0,0,0
el,χακ,8,new/tech,noun_transliterated,0,0,0
el,χακαρισμένος,1,new/tech,verb_participle,0,0,0
el,ban,1,new/tech,cs_latin_raw,0,0,0
el,μπαν,23,new/tech,noun_transliterated,0,0,0
el,log,8,new/tech,cs_latin_raw,0,0,0
el,κάνει log,1,new/tech,verb_light_latin,0,0,0
el,λογκ,6,new/tech,noun_transliterated,0,0,0
el,reset,12,new/tech,cs_latin_raw,0,0,0
el,κάνει reset,1,new/tech,verb_light_latin,0,0,0
el,download,2,new/tech,cs_latin_raw,0,0,0
el,stream,2,new/tech,cs_latin_raw,0,0,0
el,κάνει stream,4,new/tech,verb_light_latin,0,0,0
el,στριμ,8,new/tech,noun_transliterated,0,0,0
el,κάνει like,1,new/tech,verb_light_latin,0,0,0
el,scroll,1,new/tech,cs_latin_raw,0,0,0
el,σκρολ,1,new/tech,noun_transliterated,0,0,0
el,forward,2,new/tech,cs_latin_raw,0,0,0
el,φόργουορντ,14,new/tech,noun_transliterated,0,0,0
el,spam,14,new/tech,cs_latin_raw,0,0,0
el,σπαμ,8,new/tech,noun_transliterated,0,0,0
el,check,1,new/tech,cs_latin_raw,0,0,0
el,κάνει check,1,new/tech,verb_light_latin,0,0,0
el,έκανε check,4,new/tech,verb_light_latin,0,0,0
el,τσεκ,4,new/tech,noun_transliterated,0,0,0
el,έκανε τσεκ,3,new/tech,verb_light_greek,0,0,0
el,σπόιλερ,5,new/tech,noun_transliterated,0,0,0
el,troll,3,new/tech,cs_latin_raw,0,0,0
el,τρολ,30,new/tech,noun_transliterated,0,0,0
el,bug,9,new/tech,cs_latin_raw,0,0,0
el,μπαγκ,10,new/tech,noun_transliterated,0,0,0
el,server,20,new/tech,cs_latin_raw,0,0,0
el,σέρβερ,1,new/tech,noun_transliterated,0,0,0
el,cloud,27,new/tech,cs_latin_raw,0,0,0
el,κλάουντ,4,new/tech,noun_transliterated,0,0,0
el,software,10,new/tech,cs_latin_raw,0,0,0
el,hardware,6,new/tech,cs_latin_raw,0,0,0
el,online,2,new/tech,cs_latin_raw,0,0,0
el,ονλάιν,3,new/tech,noun_transliterated,0,0,0
el,interface,8,new/tech,cs_latin_raw,0,0,0
el,user,5,new/tech,cs_latin_raw,0,0,0
el,μποτ,8,new/tech,noun_transliterated,0,0,0
el,app,2,new/tech,cs_latin_raw,0,0,0
el,pixel,9,new/tech,cs_latin_raw,0,0,0
